"Name","Symbol","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"Hancock Whitney","HWC","-1.76%","-0.59%","5.67%","1.72%","8.98%","72.08%"
"Hawaiian Electric Industries","HE","-0.11%","1.65%","-1.23%","-2.63%","6.73%","14.58%"
"Healthcare RT","HR","2.17%","4.69%","3.91%","-4.79%","-6.85%","26.31%"
"HealthSouth","EHC","0.70%","4.63%","13.91%","58.31%","83.40%","68.47%"
"Helen of Troy Ltd","HELE","-0.69%","1.59%","14.26%","19.36%","14.09%","29.04%"
"Herman Miller","MLHR","-0.66%","1.63%","-3.23%","-6.37%","10.95%","34.12%"
"Highwoods Properties","HIW","1.19%","3.59%","-2.81%","-1.45%","-0.73%","20.00%"
"Hill-Rom","HRC","-0.33%","4.91%","6.93%","11.97%","25.31%","68.90%"
"HNI","HNI","-1.39%","0.99%","9.46%","10.66%","17.00%","-14.83%"
"HollyFrontier","HFC","-1.83%","-8.67%","0.55%","32.08%","121.59%","36.72%"
"Hospitality Properites","HPT","-1.12%","1.91%","-1.19%","-5.29%","-1.74%","6.32%"
"Hubbell","HUBB","1.24%","-1.94%","10.04%","-11.66%","0.23%","13.84%"
"Huntington Ingalls Industries","HII","-1.99%","1.83%","8.46%","0.11%","10.29%","101.47%"
"IDACORP","IDA","0.49%","-0.05%","0.23%","3.02%","8.73%","54.35%"
"IDEX","IEX","-0.67%","1.21%","10.31%","15.00%","30.58%","101.01%"
"IDEXX Labs","IDXX","0.76%","0.57%","9.38%","55.16%","59.00%","223.00%"
"Ingredion","INGR","0.89%","-0.67%","-11.87%","-29.43%","-19.09%","8.36%"
"Integrated Device","IDTI","-0.61%","5.35%","7.22%","19.85%","47.23%","77.18%"
"InterDigital","IDCC","-0.68%","-1.11%","-3.42%","5.71%","12.82%","55.20%"
"International Bancshares","IBOC","-1.20%","1.35%","3.67%","13.85%","25.73%","65.63%"
"International Speedway","ISCA","1.15%","2.44%","-3.51%","10.41%","23.08%","31.03%"
"IPG Photonics","IPGP","0.11%","-27.65%","-23.49%","-20.39%","6.05%","81.96%"
"ITT","ITT","9.13%","10.64%","18.05%","15.31%","46.59%","62.89%"
"j2 Global","JCOM","-0.58%","-1.97%","-3.75%","12.63%","8.75%","13.77%"
"Jabil Circuit","JBL","0.28%","1.75%","2.81%","8.72%","-7.10%","41.08%"
"Jack Henry&Associates","JKHY","0.33%","0.90%","4.54%","18.53%","30.75%","96.78%"
"Jack In The Box","JACK","-0.58%","2.64%","-1.31%","-13.11%","-8.52%","-12.24%"
"JC Penney","JCP","0.42%","-0.42%","-0.42%","-24.68%","-56.25%","-71.60%"
"JetBlue","JBLU","2.47%","1.11%","-5.34%","-18.31%","-18.64%","-22.93%"
"John Wiley&Sons","JWa","0.32%","0.96%","-1.49%","-4.41%","14.79%","20.24%"
"Jones Lang LaSalle","JLL","0.67%","-2.26%","0.75%","13.11%","34.67%","-5.91%"
"KB Home","KBH","0.43%","-0.64%","-11.52%","-26.67%","-0.00%","56.72%"
"KBR","KBR","0.45%","6.95%","10.67%","0.91%","19.82%","10.01%"
"Kemper","KMPR","0.19%","6.54%","8.79%","15.82%","67.65%","108.46%"
"Kennametal","KMT","0.32%","1.33%","6.24%","-21.52%","3.63%","21.10%"
"Keysight Technologies","KEYS","-0.64%","0.25%","-0.32%","42.57%","41.62%","95.42%"
"Kilroy","KRC","0.77%","2.71%","-3.06%","-1.45%","4.35%","2.75%"
"Kirby","KEX","-0.06%","4.18%","-0.89%","25.07%","35.52%","16.62%"
"KLX Inc","KLXI","-0.15%","-0.61%","1.01%","6.56%","39.46%","84.92%"
"Knowles Cor","KN","-1.29%","-0.11%","11.09%","20.26%","14.26%","-1.51%"
"Lamar","LAMR","-0.15%","-0.29%","4.48%","-2.92%","5.17%","18.44%"
"Lancaster Colony","LANC","0.55%","1.78%","2.83%","14.01%","19.82%","61.36%"
"Landstar","LSTR","-0.75%","3.47%","0.04%","7.40%","32.78%","55.54%"
"LaSalle","LHO","-0.37%","0.55%","-0.97%","23.26%","19.52%","6.89%"
"Leidos Holdings","LDOS","0.56%","1.64%","16.72%","7.77%","23.85%","58.12%"
"Lennox","LII","0.28%","3.19%","5.67%","4.60%","26.45%","84.13%"
"Liberty Property","LPT","1.48%","4.41%","-1.92%","1.93%","4.33%","31.61%"
"Life Storage","LSI","1.20%","3.56%","-2.79%","9.97%","35.07%","3.12%"
"LifePoint Health","LPNT","0.00%","-0.00%","33.16%","29.82%","10.61%","-20.43%"
"Lincoln Electrics","LECO","0.81%","1.09%","6.72%","1.91%","6.17%","51.76%"
"LivaNova PLC","LIVN","-1.67%","8.19%","17.80%","52.01%","101.11%","-"
"Live Nation Entertainment","LYV","-0.93%","-2.64%","-0.12%","15.15%","31.21%","91.93%"
"Louisiana-Pacific","LPX","1.99%","4.64%","-0.68%","5.56%","13.24%","77.69%"
"Mack-Cali","CLI","0.42%","-0.78%","-7.30%","-11.04%","-22.79%","-7.07%"
"Manhattan Associates","MANH","1.57%","0.70%","0.39%","-0.83%","12.32%","-25.91%"
"ManpowerGroup","MAN","0.30%","-0.98%","7.00%","-26.94%","-14.92%","1.30%"
"MarketAxesss","MKTX","-0.61%","-4.51%","-5.08%","-6.00%","-7.95%","91.07%"
"Maximus","MMS","-0.54%","-0.12%","1.17%","-9.67%","5.90%","-6.59%"
"MB Financial","MBFI","-1.17%","-0.50%","2.49%","8.22%","16.29%","40.38%"
"MDU Resources","MDU","1.17%","0.32%","-2.19%","6.29%","9.93%","62.79%"
"Medical Properties","MPW","2.03%","3.77%","2.24%","5.81%","13.91%","15.26%"
"Mednax","MD","4.68%","10.32%","8.95%","-11.62%","6.33%","-44.50%"
"Mercury General","MCY","0.64%","15.44%","18.91%","-2.21%","-12.05%","-5.33%"
"Meredith","MDP","2.10%","5.10%","-2.10%","-18.85%","-7.35%","14.92%"
"Mid-America Apartment","MAA","1.94%","3.23%","2.21%","1.28%","-1.84%","27.79%"
"Minerals Technologies","MTX","-1.81%","-2.54%","-3.94%","6.10%","5.95%","14.00%"
"Molina Healthcare","MOH","-1.50%","20.79%","25.94%","64.88%","111.42%","63.68%"
"Monolithic","MPWR","0.05%","2.40%","-0.47%","20.77%","33.63%","164.73%"
"MSA Safety","MSA","-1.80%","-1.92%","-1.42%","25.28%","34.09%","92.66%"
"MSC Industrial Direct","MSM","0.07%","-0.16%","-0.83%","-13.82%","17.41%","18.17%"
"MSCI","MSCI","-2.04%","-2.77%","1.16%","31.83%","50.06%","146.78%"
"Murphy USA Inc","MUSA","2.68%","8.33%","13.14%","6.31%","18.19%","58.85%"
"Nabors Industries","NBR","1.36%","11.65%","9.46%","-1.76%","-11.36%","-40.14%"
"National Fuel Gas","NFG","-0.06%","0.17%","-1.63%","-3.28%","-10.23%","-0.86%"
"National Instruments","NATI","-0.13%","0.93%","2.75%","6.68%","9.38%","54.74%"
"National Retail Properties","NNN","1.71%","2.85%","2.46%","6.10%","12.99%","24.58%"
"NCR","NCR","2.72%","-1.03%","-8.46%","-17.86%","-23.61%","2.99%"
"NetScout","NTCT","-0.57%","-4.39%","-13.27%","-14.12%","-23.09%","-34.79%"
"NewJersey Resources","NJR","0.00%","1.10%","-2.24%","13.81%","6.52%","60.75%"
"NewMarket","NEU","0.54%","-0.38%","0.81%","1.97%","-7.07%","3.13%"
"NewYork Community Bancorp","NYCB","-0.19%","0.19%","-4.54%","-17.59%","-16.69%","-42.50%"
"NewYork Times","NYT","-1.02%","0.83%","-7.10%","30.81%","26.37%","83.47%"
"Noble Corporation","NE","-1.54%","3.04%","-4.00%","27.43%","48.45%","-50.81%"
"Nordson","NDSN","0.16%","0.32%","2.19%","-9.09%","3.73%","79.63%"
"NorthWestern","NWE","0.95%","0.76%","1.25%","-0.57%","-1.53%","10.36%"
"Now Inc","DNOW","2.85%","22.25%","25.43%","56.94%","28.32%","1.58%"
"NuVasive","NUVA","-1.21%","18.44%","21.85%","9.28%","-2.84%","14.78%"
"NVR","NVR","-2.26%","-4.15%","-12.16%","-23.31%","0.56%","83.03%"
"Oceaneering","OII","-0.91%","0.96%","1.58%","24.31%","0.92%","-36.03%"
"Office Depot","ODP","1.64%","-0.40%","-6.77%","-29.94%","-58.25%","-68.33%"
"OGE Energy","OGE","0.30%","0.17%","2.69%","10.09%","0.89%","22.81%"
"Oil States","OIS","-1.05%","-2.66%","1.23%","16.43%","31.80%","13.04%"
"Old Dominion Freight Line","ODFL","-1.42%","1.31%","-0.40%","10.79%","51.47%","96.63%"
"Old Republic","ORI","0.00%","3.11%","8.88%","6.00%","10.45%","29.08%"
"Olin","OLN","2.77%","4.23%","4.19%","-15.43%","-3.84%","33.73%"
"Omega Healthcare","OHI","0.97%","0.91%","-5.41%","9.26%","-2.78%","-16.92%"
"One Gas Inc","OGS","-0.03%","1.25%","-1.32%","4.19%","3.46%","70.65%"
"Oshkosh","OSK","0.04%","-3.72%","0.85%","-20.28%","-3.37%","100.78%"
"Owens&Minor","OMI","0.27%","3.86%","8.81%","-3.18%","-35.61%","-47.35%"
"Packaging America","PKG","0.54%","1.87%","-1.18%","-7.60%","2.12%","57.53%"
"PacWest","PACW","-0.98%","0.34%","1.51%","0.04%","4.48%","7.92%"
"Patterson-UTI Energy","PTEN","-0.18%","-1.53%","-5.86%","-27.38%","-12.47%","-0.12%"
"Plantronics","PLT","-0.10%","-1.29%","-14.14%","36.54%","53.79%","19.47%"
"PNM Resources","PNM","0.42%","3.39%","0.25%","-2.10%","-3.88%","51.15%"
"Polaris Industries","PII","3.38%","6.31%","-11.15%","-10.65%","23.91%","-19.00%"
"PolyOne","POL","-0.36%","-0.45%","0.09%","0.76%","20.64%","27.93%"
"Pool","POOL","-1.01%","2.08%","3.05%","21.23%","44.18%","122.13%"
"Post","POST","7.96%","5.55%","7.23%","18.11%","8.65%","76.27%"
"Potlatch","PCH","-1.70%","0.87%","-9.05%","-7.31%","-4.54%","31.73%"
"Prestige Brand","PBH","5.81%","1.62%","-2.41%","-17.95%","-31.26%","-24.16%"
"Primerica","PRI","0.22%","0.74%","12.84%","13.34%","40.02%","158.30%"
"Prosperity Bancshares","PB","-0.32%","1.94%","4.28%","1.46%","8.32%","27.54%"
"PTC","PTC","-0.75%","-2.72%","-2.37%","52.21%","71.11%","153.42%"
"QEP Resources","QEP","-2.80%","-1.86%","-19.08%","5.02%","26.73%","-25.61%"
"Raymond James Financial","RJF","0.41%","-1.89%","3.58%","2.28%","10.18%","53.72%"
"Rayonier","RYN","-3.53%","-1.05%","-13.64%","7.05%","14.86%","38.83%"
"Regal Beloit","RBC","-1.01%","-1.70%","3.98%","9.27%","-0.30%","15.61%"
"Regency Centers","REG","1.95%","4.80%","4.35%","-6.27%","-2.83%","2.40%"
"Reinsurance of America","RGA","0.25%","3.93%","4.52%","-8.75%","1.69%","47.39%"
"Reliance Steel&Aluminum","RS","-0.37%","-1.30%","1.81%","4.37%","23.54%","44.82%"
"Renaissancere","RNR","-0.24%","-0.64%","8.36%","4.57%","-11.19%","23.11%"
"ResMed","RMD","-3.56%","-1.63%","-0.49%","23.67%","39.49%","88.55%"
"RH","RH","1.58%","-2.14%","-1.09%","56.29%","136.72%","29.95%"
"Rollins","ROL","-0.39%","1.00%","6.08%","21.15%","28.41%","87.40%"
"Rowan","RDC","1.39%","-2.81%","-8.40%","-11.56%","20.96%","-18.14%"
"Royal Gold","RGLD","0.42%","-2.52%","-12.02%","2.09%","-1.68%","71.03%"
"RPM","RPM","0.19%","0.33%","7.37%","22.28%","25.17%","36.27%"
"Sally Beauty","SBH","0.14%","-13.05%","-8.19%","-24.68%","-32.07%","-52.36%"
"SCI","SCI","-0.15%","4.41%","8.24%","5.20%","12.78%","26.44%"
"Scnc App In","SAIC","0.64%","1.27%","3.75%","11.35%","19.16%","58.80%"
"Scotts Miracle-Gro","SMG","2.71%","0.19%","-7.17%","-26.39%","-18.76%","20.97%"
"SEI","SEIC","0.76%","-1.01%","-5.20%","-16.82%","6.73%","9.39%"
"Senior Housing Properties","SNH","1.22%","5.45%","-1.52%","-5.07%","-3.55%","7.83%"
"Sensient Technologies","SXT","0.23%","0.96%","-4.57%","-6.10%","-7.79%","0.25%"
"Signature","SBNY","-0.99%","-1.76%","-13.35%","-19.93%","-19.47%","-26.49%"
"Silgans","SLGN","2.86%","4.18%","5.15%","-3.40%","-6.70%","6.33%"
"Silicon Labs","SLAB","-1.04%","-0.84%","-7.18%","7.53%","26.52%","118.08%"
"Skechers","SKX","0.11%","0.36%","-8.85%","-25.69%","0.64%","-47.37%"
"SLM","SLM","0.36%","-2.52%","-2.85%","-0.53%","2.65%","21.78%"
"SM Energy","SM","-0.56%","6.70%","9.64%","28.31%","85.65%","-15.91%"
"Sonoco Products","SON","1.45%","1.95%","7.22%","6.44%","14.61%","36.59%"
"Sotheby’s","BID","-0.06%","0.08%","-5.25%","2.54%","4.79%","26.13%"
"Southwest Gas Hold","SWX","-1.58%","0.59%","-1.20%","-3.17%","-3.04%","40.54%"
"Sprouts Farmers","SFM","-2.01%","10.51%","4.10%","-4.11%","-1.93%","-2.83%"
"Steel Dynamics","STLD","-0.85%","-7.81%","-5.25%","2.57%","25.43%","107.60%"
"Steris PLC","STE","0.30%","3.48%","9.45%","33.47%","41.55%","68.91%"
"Stifel","SF","-0.23%","4.48%","5.88%","-7.22%","10.56%","-0.07%"
"Superior Energy Services","SPN","-2.95%","-1.60%","-3.36%","-4.47%","-12.46%","-44.98%"
"SVB","SIVB","0.27%","1.37%","10.37%","37.60%","73.97%","117.78%"
"Synaptics","SYNA","2.97%","-1.78%","-3.66%","21.33%","6.93%","-36.67%"
"Synnex","SNX","-1.51%","1.50%","-6.75%","-29.53%","-18.97%","23.24%"
"Synopsys","SNPS","0.53%","-1.56%","4.55%","6.92%","18.97%","76.63%"
"Synovus","SNV","-0.44%","0.14%","-6.54%","4.28%","14.89%","54.86%"
"Tanger Factory Outlet Centers","SKT","1.34%","2.71%","0.66%","-8.41%","-8.27%","-24.76%"
"Taubman Centers","TCO","1.20%","5.75%","6.41%","-3.03%","13.22%","-14.00%"
"TCF Financial","TCF","-1.16%","-0.27%","2.81%","24.73%","62.35%","53.57%"
"Tech Data","TECD","-0.66%","1.01%","-0.40%","-15.37%","-21.20%","41.99%"
"Teledyne Technologies","TDY","0.54%","4.79%","13.74%","25.86%","53.74%","119.78%"
"Teleflex","TFX","-1.27%","-10.65%","-9.31%","-1.19%","14.75%","83.52%"
"Telephone&Data Systems","TDS","4.03%","8.44%","-4.42%","-3.45%","-6.84%","-7.96%"
"Tempur Sealy","TPX","2.90%","4.34%","-1.11%","-20.15%","-15.61%","-34.59%"
"Tenet Healthcare","THC","0.76%","3.98%","11.08%","153.36%","129.04%","-30.16%"
"Teradyne","TER","0.41%","-1.13%","11.61%","4.49%","30.75%","130.87%"
