"Name","Symbol","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"Avery Dennison","AVY","1.63%","1.59%","0.29%","-5.95%","28.47%","74.10%"
"Baker Hughes A","BHGE","0.03%","-0.66%","-4.09%","9.67%","-10.29%","-23.47%"
"Ball","BLL","0.72%","2.29%","-3.12%","-0.66%","-6.65%","4.76%"
"Bank of America","BAC","-0.27%","2.07%","-2.85%","1.66%","26.78%","70.61%"
"Bank of NY Mellon","BK","-0.16%","3.99%","0.51%","6.87%","16.52%","31.60%"
"Baxter","BAX","0.58%","2.86%","5.92%","15.69%","26.94%","108.48%"
"BB&T","BBT","0.33%","2.63%","-0.80%","9.81%","23.78%","32.65%"
"Becton Dickinson","BDX","0.89%","3.07%","2.82%","8.31%","20.75%","65.54%"
"Berkshire Hathaway B","BRKb","0.23%","1.97%","-2.58%","-1.11%","15.30%","39.15%"
"Best Buy","BBY","0.91%","5.03%","-5.88%","5.61%","24.39%","114.19%"
"Biogen Inc","BIIB","-0.68%","2.09%","10.69%","-4.80%","16.70%","-21.93%"
"BlackRock","BLK","0.05%","1.92%","2.45%","6.95%","31.28%","54.50%"
"Boeing","BA","0.26%","3.58%","7.39%","25.29%","94.44%","160.91%"
"Booking Holdings","BKNG","0.21%","0.36%","2.72%","22.95%","15.98%","81.07%"
"BorgWarner","BWA","-0.36%","0.14%","-0.91%","-2.09%","16.43%","-17.95%"
"Boston Properties","BXP","0.22%","0.95%","-1.78%","-5.68%","-2.07%","-1.88%"
"Boston Scientific","BSX","2.96%","4.45%","5.52%","28.88%","14.85%","80.10%"
"Brighthouse Financial","BHF","0.00%","-1.23%","-4.05%","-20.36%","-","-"
"Bristol-Myers Squibb","BMY","1.03%","0.06%","3.93%","-13.25%","-1.10%","-18.88%"
"Broadcom","AVGO","-2.54%","0.64%","5.94%","0.42%","6.01%","80.58%"
"Brown Forman","BFb","3.38%","-4.71%","-7.77%","-3.59%","34.68%","7.62%"
"CA","CA","-0.14%","0.75%","3.36%","9.01%","14.41%","20.61%"
"Cabot Oil&Gas","COG","0.64%","2.21%","2.53%","-17.69%","2.88%","-30.66%"
"Cadence Design","CDNS","-0.02%","1.99%","4.36%","5.38%","26.93%","122.13%"
"Campbell Soup","CPB","1.67%","2.31%","-17.33%","-29.22%","-39.78%","-27.31%"
"Capital One Financial","COF","0.22%","2.32%","4.64%","-2.62%","21.11%","11.55%"
"Cardinal Health","CAH","0.76%","1.31%","-2.54%","-12.93%","-29.06%","-39.90%"
"CarMax","KMX","0.97%","5.58%","16.61%","15.06%","23.79%","0.87%"
"Carnival","CCL","-0.64%","-3.53%","-4.87%","-8.18%","-3.79%","29.66%"
"Caterpillar","CAT","-0.62%","1.17%","0.88%","-1.43%","46.64%","75.54%"
"CBOE Holdings","CBOE","1.01%","5.62%","-1.39%","-16.57%","15.82%","79.10%"
"CBRE A","CBRE","1.61%","5.47%","2.86%","12.19%","39.07%","30.97%"
"CBS","CBS","0.24%","2.30%","-2.27%","-13.34%","-15.78%","-14.05%"
"Celgene","CELG","0.34%","0.03%","-4.03%","-24.24%","-33.11%","-29.45%"
"Centene","CNC","0.53%","1.91%","5.97%","18.76%","54.59%","62.12%"
"CenterPoint Energy","CNP","-0.24%","-1.21%","-4.84%","-10.61%","-10.23%","30.74%"
"CenturyLink","CTL","0.17%","-0.51%","-9.02%","5.82%","-32.40%","-45.29%"
"Cerner","CERN","0.73%","1.61%","0.70%","-9.94%","-8.43%","-9.65%"
"CF Industries","CF","0.68%","6.70%","9.57%","1.50%","58.46%","-32.62%"
"CH Robinson","CHRW","0.38%","0.91%","4.42%","-0.86%","30.15%","38.39%"
"Charter Communications","CHTR","-0.33%","5.88%","1.62%","-17.47%","-16.70%","45.43%"
"Chesapeake Energy","CHK","2.34%","6.18%","43.58%","21.46%","-3.22%","-63.17%"
"Chevron","CVX","-0.41%","2.09%","-1.85%","1.00%","18.83%","24.17%"
"Chipotle Mexican Grill","CMG","1.14%","3.37%","7.27%","56.86%","-1.62%","-25.51%"
"Chubb","CB","0.98%","2.10%","-1.49%","-8.63%","-8.90%","27.09%"
"Church&Dwight","CHD","1.67%","1.84%","0.88%","-3.95%","-9.08%","15.29%"
"Cigna","CI","0.40%","4.09%","3.95%","-12.45%","6.64%","27.15%"
"Cimarex Energy","XEC","-0.01%","-2.84%","-12.50%","-29.85%","-14.32%","-29.44%"
"Cincinnati Financial","CINF","0.72%","1.57%","-0.85%","-4.92%","-0.70%","40.34%"
"Cintas","CTAS","1.27%","3.75%","5.23%","22.88%","54.79%","121.67%"
"Cisco","CSCO","-0.39%","-0.41%","-6.09%","13.52%","38.60%","51.71%"
"Citigroup","C","0.03%","1.77%","-5.65%","-7.98%","6.24%","20.08%"
"Citizens Financial Group Inc","CFG","0.17%","0.84%","-0.90%","0.00%","15.52%","49.93%"
"Citrix Systems","CTXS","-0.29%","1.03%","-0.23%","22.66%","37.82%","63.62%"
"Clorox","CLX","1.77%","5.24%","5.35%","-14.78%","-7.58%","18.89%"
"CME Group","CME","-0.45%","2.05%","6.88%","17.06%","37.45%","78.90%"
"CMS Energy","CMS","-0.07%","-4.03%","-4.11%","-8.35%","-7.73%","34.96%"
"Coca-Cola","KO","1.17%","1.92%","4.20%","-4.21%","-3.02%","8.98%"
"Cognizant","CTSH","0.51%","0.31%","1.53%","8.58%","16.29%","18.91%"
"Colgate-Palmolive","CL","0.92%","1.04%","1.38%","-16.05%","-16.40%","-5.56%"
"Comcast","CMCSA","0.25%","2.62%","1.65%","-19.90%","-21.16%","10.20%"
"Comerica","CMA","-0.26%","0.75%","-1.47%","11.13%","32.75%","84.67%"
"ConAgra Foods","CAG","1.51%","2.17%","-0.05%","0.19%","-2.63%","-0.76%"
"Concho Resources","CXO","-1.58%","-0.72%","-17.77%","-14.61%","3.55%","2.08%"
"ConocoPhillips","COP","-0.07%","1.67%","0.13%","26.49%","54.91%","8.45%"
"Consolidated Edison","ED","-0.06%","-3.69%","-4.99%","-14.36%","-12.61%","25.97%"
"Constellation Brands A","STZ","1.68%","2.03%","3.13%","-0.56%","25.57%","86.68%"
"Cooper","COO","2.52%","1.80%","0.34%","6.58%","-2.20%","34.04%"
"Corning","GLW","-0.21%","2.86%","5.08%","-10.13%","-0.69%","36.77%"
"Costco","COST","0.59%","3.36%","4.25%","9.48%","12.96%","46.14%"
"Coty Inc","COTY","3.58%","5.95%","-4.21%","-30.17%","-25.88%","-46.96%"
"Crown Castle","CCI","0.55%","-0.73%","-1.79%","-7.18%","0.96%","25.26%"
"CSX","CSX","2.01%","2.49%","6.78%","21.92%","26.43%","97.44%"
"Cummins","CMI","-0.13%","0.07%","-1.67%","-18.66%","-9.77%","4.75%"
"CVS Health Corp","CVS","1.55%","3.06%","5.75%","-8.92%","-17.16%","-35.35%"
"Danaher","DHR","0.49%","2.40%","1.81%","10.97%","21.91%","19.74%"
"Darden Restaurants","DRI","0.05%","3.33%","0.12%","-4.76%","-0.73%","52.54%"
"DaVita","DVA","3.06%","5.90%","8.03%","-1.66%","10.21%","-13.01%"
"Deere&Company","DE","-0.96%","2.43%","7.17%","0.39%","24.75%","69.06%"
"Delta Air Lines","DAL","1.18%","-0.61%","3.90%","-3.41%","2.04%","31.73%"
"Dentsply","XRAY","-0.35%","-1.06%","-7.69%","-34.74%","-32.18%","-18.25%"
"Devon Energy","DVN","0.50%","1.84%","3.11%","1.84%","29.40%","-33.93%"
"Digital","DLR","1.36%","0.98%","1.13%","-3.80%","-3.31%","68.57%"
"Discover","DFS","-0.21%","1.85%","0.67%","-2.00%","24.45%","28.33%"
"Discovery A","DISCA","1.10%","9.88%","-3.36%","2.86%","-11.80%","-30.73%"
"Discovery Communications C","DISCK","1.54%","9.82%","-3.41%","2.98%","-13.73%","-29.50%"
"DISH Network","DISH","0.25%","10.32%","0.94%","-32.82%","-50.66%","-55.78%"
"Dollar General","DG","1.15%","6.32%","2.11%","2.03%","26.16%","22.91%"
"Dollar Tree","DLTR","0.82%","1.66%","-10.79%","-23.00%","9.62%","5.62%"
"Dominion Resources","D","0.34%","-1.20%","-2.28%","-22.77%","-21.04%","-6.36%"
"Dover","DOV","-0.01%","1.23%","2.92%","-21.85%","-4.94%","7.58%"
"DR Horton","DHI","4.12%","4.69%","0.73%","-13.47%","31.44%","68.15%"
"Dr Pepper Snapple","DPS","0.26%","0.50%","0.76%","24.17%","31.86%","62.78%"
"DTE Energy","DTE","-0.07%","-4.02%","-4.30%","-11.41%","-11.02%","29.24%"
"Duke","DRE","0.77%","0.91%","-0.55%","5.55%","0.95%","52.60%"
"Duke Energy","DUK","-0.49%","-3.89%","-6.45%","-13.07%","-14.70%","1.49%"
"DuPont","DWDP","0.10%","5.02%","3.79%","-2.43%","7.46%","34.57%"
"DXC Technology","DXC","1.35%","2.57%","-17.96%","-9.86%","13.90%","200.88%"
"E-TRADE","ETFC","0.69%","2.08%","2.04%","31.95%","77.07%","112.09%"
"Eastman Chemical","EMN","0.71%","3.11%","1.27%","17.74%","32.11%","38.82%"
"Eaton","ETN","0.01%","4.49%","5.10%","1.70%","6.09%","10.77%"
"eBay","EBAY","-0.40%","5.09%","4.65%","6.76%","15.31%","58.31%"
"Ecolab","ECL","0.22%","1.80%","-1.00%","8.95%","9.25%","26.45%"
"Edison","EIX","-0.18%","-2.02%","-3.40%","-5.74%","-26.67%","3.81%"
"Edwards Lifesciences","EW","0.57%","0.64%","4.42%","26.71%","22.99%","112.06%"
"Electronic Arts","EA","0.70%","1.61%","3.07%","31.23%","24.81%","120.49%"
"Eli Lilly","LLY","0.23%","1.45%","6.46%","1.92%","6.22%","3.49%"
"Emerson","EMR","-0.30%","2.49%","1.64%","4.96%","20.49%","22.39%"
"Entergy","ETR","0.34%","-4.02%","-2.62%","-5.53%","-3.01%","8.74%"
"Envision Healthcare","EVHC","1.56%","-0.73%","2.11%","26.27%","-22.28%","-36.77%"
"EOG Resources","EOG","-0.22%","-0.57%","-1.08%","9.04%","30.63%","30.15%"
"EQT","EQT","-0.06%","2.33%","2.85%","-6.68%","-5.97%","-38.07%"
"Equifax","EFX","1.05%","11.84%","11.32%","8.40%","-5.68%","29.35%"
"Equinix","EQIX","1.49%","1.04%","1.18%","-11.00%","-8.16%","60.72%"
"Equity Residential","EQR","0.76%","1.21%","2.69%","1.30%","-4.48%","2.09%"
"Essex Property","ESS","0.11%","1.04%","-1.20%","-0.16%","-9.48%","12.89%"
"Estee Lauder","EL","1.02%","3.13%","10.51%","20.28%","58.85%","73.23%"
"Everest","RE","0.10%","1.95%","0.93%","4.09%","-9.88%","26.72%"
"Eversource Energy","ES","-0.07%","-4.01%","-7.58%","-15.23%","-14.03%","15.98%"
"Exelon","EXC","-0.35%","-2.42%","-1.48%","1.50%","9.23%","17.03%"
"Expedia","EXPE","0.46%","0.72%","6.11%","0.94%","-15.81%","11.76%"
"Expeditors Washington","EXPD","0.57%","1.19%","6.75%","18.29%","39.61%","61.03%"
"Express Scripts","ESRX","0.31%","1.71%","10.47%","5.02%","27.65%","-10.65%"
"Extra Space Storage","EXR","0.30%","1.46%","3.01%","12.09%","31.54%","47.31%"
"Exxon Mobil","XOM","0.87%","2.16%","2.30%","-0.05%","1.79%","-1.89%"
"F5 Networks","FFIV","-0.07%","0.92%","2.34%","34.74%","36.74%","39.29%"
"Facebook","FB","0.49%","-2.52%","1.92%","7.16%","26.40%","130.16%"
"Fastenal","FAST","-0.23%","-1.51%","2.90%","-3.42%","21.37%","25.25%"
"Federal Realty","FRT","0.02%","1.93%","1.53%","-9.00%","-3.06%","-7.22%"
"FedEx","FDX","1.13%","2.58%","5.03%","4.25%","26.04%","42.69%"
"Fidelity National Info","FIS","0.64%","2.83%","1.17%","12.81%","25.45%","69.74%"
"Fifth Third","FITB","0.60%","3.41%","-6.28%","4.85%","26.94%","49.41%"
"FirstEnergy","FE","-0.06%","-2.57%","-1.74%","8.82%","14.46%","-3.53%"
"Fiserv","FISV","0.53%","2.92%","4.23%","15.12%","22.86%","87.69%"
"FLIR Systems","FLIR","-0.09%","0.60%","-0.43%","18.10%","49.42%","75.63%"
"Flowserve","FLS","0.14%","3.13%","-11.93%","0.09%","-10.85%","-22.52%"
"Fluor","FLR","1.35%","2.73%","8.58%","-2.54%","8.61%","-9.59%"
"FMC","FMC","-0.17%","0.42%","1.38%","-6.36%","15.69%","59.57%"
"Foot Locker","FL","2.20%","7.71%","40.75%","25.68%","7.56%","-5.73%"
"Ford Motor","F","0.58%","3.33%","7.94%","-3.12%","8.72%","-19.49%"
"Fortive","FTV","0.28%","5.95%","3.52%","8.09%","23.95%","-"
"Fortune Brands","FBHS","1.53%","3.03%","4.86%","-14.49%","-7.57%","26.94%"
"Fox Inc","FOX","0.82%","3.34%","5.58%","15.91%","42.78%","20.40%"
"Franklin Resources","BEN","0.38%","0.85%","3.64%","-20.59%","-21.22%","-31.55%"
"Freeport-McMoran","FCX","0.56%","5.32%","11.16%","-4.91%","45.87%","-11.70%"
"Gap","GPS","0.63%","9.60%","10.21%","-6.81%","39.03%","-15.83%"
"Garmin Ltd","GRMN","0.68%","0.75%","4.49%","3.83%","19.19%","33.21%"
"Gartner","IT","0.26%","3.83%","2.50%","11.84%","-","-"
"General Dynamics","GD","-0.13%","-0.44%","0.45%","-0.43%","1.56%","43.13%"
"General Electric","GE","1.09%","-1.21%","-5.17%","-20.17%","-50.14%","-49.58%"
"General Mills","GIS","1.63%","0.73%","0.68%","-27.63%","-24.84%","-22.11%"
"General Motors","GM","0.55%","2.43%","19.08%","7.95%","28.86%","24.33%"
"Genuine Parts","GPC","0.21%","3.44%","4.47%","-0.41%","3.29%","3.49%"
"GGP","GGP","0.24%","1.52%","1.22%","-11.63%","-11.36%","-21.65%"
"Gilead","GILD","0.01%","5.29%","10.00%","0.38%","11.14%","-38.89%"
"Global Payments","GPN","0.09%","3.25%","0.93%","16.80%","31.40%","120.49%"
"Goldman Sachs","GS","-0.03%","2.21%","-4.13%","-8.39%","4.92%","9.51%"
"H&R Block","HRB","0.73%","4.52%","4.93%","11.17%","11.30%","-3.80%"
"Halliburton","HAL","-1.70%","-2.00%","-8.75%","-1.58%","7.25%","4.02%"
"Hanesbrands","HBI","1.41%","9.78%","21.17%","-3.92%","-8.97%","-38.34%"
"Harley-Davidson","HOG","0.23%","4.84%","4.97%","-16.18%","-19.95%","-22.01%"
"Harris","HRS","1.09%","1.28%","-1.31%","9.18%","41.80%","95.98%"
"Hartford","HIG","0.95%","1.47%","0.85%","-5.37%","3.40%","26.72%"
"Hasbro","HAS","1.71%","3.72%","3.86%","-0.62%","-16.28%","24.27%"
"HCA","HCA","0.07%","1.03%","3.86%","19.98%","26.11%","26.84%"
"HCP","HCP","0.25%","0.04%","1.16%","-6.67%","-21.94%","-35.61%"
"Helmerich&Payne","HP","-1.85%","0.63%","-5.27%","1.14%","22.73%","-12.97%"
"Henry Schein","HSIC","1.31%","3.73%","-0.69%","3.21%","-22.35%","-49.39%"
"Hershey","HSY","0.76%","1.96%","-1.21%","-19.15%","-19.51%","0.72%"
"Hess","HES","-0.79%","0.06%","-2.31%","30.27%","35.94%","-5.79%"
"Hewlett Packard","HPE","0.57%","3.09%","-9.29%","11.49%","-5.77%","-"
"Hilton Worldwide","HLT","-0.04%","1.80%","1.67%","5.36%","29.95%","38.82%"
"Hologic","HOLX","0.52%","0.63%","0.39%","-10.32%","-14.17%","3.34%"
"Home Depot","HD","1.10%","5.86%","5.97%","4.64%","29.66%","78.71%"
"Honeywell","HON","-0.15%","1.18%","3.10%","-0.98%","13.51%","44.95%"
"Hormel Foods","HRL","0.67%","1.17%","0.11%","-0.49%","4.14%","27.46%"
"Host Hotels Resorts","HST","0.00%","0.82%","5.59%","11.28%","20.18%","12.93%"
"HP Inc","HPQ","0.68%","4.54%","4.22%","12.85%","33.20%","58.70%"
"Humana","HUM","0.50%","2.83%","5.67%","20.08%","29.69%","38.91%"
"Huntington Bancshares","HBAN","0.84%","3.29%","3.63%","7.76%","18.06%","37.15%"
"IBM","IBM","0.54%","2.95%","1.32%","-4.75%","-5.17%","-13.49%"
"ICE","ICE","0.23%","4.92%","6.00%","7.23%","18.27%","57.33%"
"IDEXX Labs","IDXX","0.77%","2.02%","5.08%","40.50%","33.52%","237.30%"
"IFF","IFF","0.15%","1.93%","-0.81%","-17.17%","-7.86%","14.06%"
"IHS Markit Ltd","INFO","-0.04%","2.86%","-1.29%","13.27%","10.41%","92.04%"
"Illinois Tool Works","ITW","-0.31%","0.54%","1.33%","-11.44%","2.04%","56.21%"
"Illumina Inc","ILMN","0.47%","2.06%","6.43%","29.08%","62.01%","30.90%"
"Incyte","INCY","1.43%","3.09%","7.26%","-26.08%","-41.19%","-33.66%"
"Ingersoll-Rand","IR","0.10%","2.74%","2.21%","1.68%","2.93%","31.07%"
"Intel","INTC","-1.49%","-3.56%","0.13%","19.26%","54.16%","73.00%"
"International Paper","IP","0.34%","6.46%","11.30%","1.50%","7.14%","15.54%"
"Intuit","INTU","0.00%","1.07%","6.16%","30.73%","47.11%","91.91%"
"Intuitive Surgical","ISRG","-0.15%","1.12%","3.46%","32.79%","58.65%","188.33%"
"Invesco","IVZ","0.61%","0.76%","-0.75%","-23.56%","-18.62%","-28.60%"
"IPG","IPG","0.57%","2.44%","-4.50%","14.68%","-3.95%","14.63%"
"IPG Photonics","IPGP","0.19%","0.80%","-0.86%","16.26%","74.62%","160.05%"
"Iron Mountain","IRM","-0.55%","1.94%","2.64%","-8.27%","3.90%","8.67%"
"J&J","JNJ","0.59%","2.31%","-1.03%","-11.21%","-5.68%","25.47%"
"Jacobs Engineering","JEC","0.83%","1.82%","4.45%","0.97%","21.20%","52.51%"
"JB Hunt","JBHT","1.11%","-0.74%","4.70%","11.92%","45.47%","49.32%"
"Jefferies Financial","JEF","0.30%","4.48%","-6.94%","-12.91%","-8.74%","-6.30%"
"JM Smucker","SJM","1.71%","-3.47%","-10.20%","-17.48%","-19.38%","-8.11%"
"Johnson Controls","JCI","0.57%","4.18%","-4.30%","-7.79%","-16.47%","-16.65%"
"JPMorgan","JPM","0.28%","2.50%","-2.78%","3.90%","27.77%","62.77%"
"Juniper","JNPR","1.79%","4.18%","6.00%","-2.04%","-2.41%","0.87%"
"Kansas City Southern","KSU","1.62%","0.76%","-0.49%","3.83%","9.70%","17.56%"
"Kellogg","K","2.33%","-0.19%","4.37%","-6.28%","-12.32%","2.68%"
"KeyCorp","KEY","0.54%","4.00%","1.28%","1.83%","10.31%","33.29%"
"Kimberly-Clark","KMB","1.42%","2.38%","-0.54%","-14.41%","-19.80%","-3.59%"
"Kimco","KIM","0.61%","6.43%","12.50%","-9.75%","-11.70%","-29.61%"
"Kinder Morgan","KMI","-1.23%","-0.30%","2.12%","-6.75%","-11.69%","-58.12%"
"KLA-Tencor","KLAC","-1.49%","-1.42%","2.83%","8.69%","11.98%","103.35%"
"Kohl’s","KSS","-0.08%","13.73%","28.47%","43.39%","105.33%","24.50%"
"Kraft Heinz","KHC","1.39%","1.42%","-0.97%","-24.81%","-35.63%","-30.67%"
"Kroger","KR","1.52%","3.85%","4.11%","-7.61%","-17.61%","-28.86%"
"L Brands","LB","-1.49%","7.00%","16.76%","-38.58%","-29.27%","-55.28%"
"L3 Tech","LLL","0.94%","1.95%","4.42%","3.22%","22.81%","76.29%"
"Laboratory of America","LH","1.63%","2.49%","7.45%","17.21%","32.96%","54.91%"
"Lam Research Corp","LRCX","-0.42%","-7.23%","-7.83%","2.15%","19.17%","127.53%"
"Leggett&Platt","LEG","1.42%","5.28%","4.28%","-8.57%","-16.35%","-11.43%"
"Lennar","LEN","2.97%","4.61%","-0.35%","-14.61%","3.85%","14.48%"
"Lennar B","LENb","2.91%","4.48%","0.02%","-16.49%","-1.19%","11.29%"
"Lincoln National","LNC","0.99%","2.78%","2.32%","-9.91%","1.47%","13.25%"
"LKQ","LKQ","0.06%","2.07%","7.63%","-19.87%","1.94%","11.27%"
"Lockheed Martin","LMT","0.11%","1.79%","-0.67%","0.39%","16.36%","70.28%"
"Loews","L","0.58%","2.52%","-2.78%","0.78%","6.21%","24.22%"
"Lowe’s","LOW","0.96%","4.58%","17.81%","7.83%","27.43%","44.89%"
"LyondellBasell Industries","LYB","0.47%","4.39%","5.04%","7.04%","44.22%","13.48%"
"M&T Bank","MTB","-0.32%","1.39%","-4.64%","3.58%","8.42%","40.09%"
"Macerich","MAC","0.48%","2.68%","-0.99%","-13.22%","-2.31%","-25.22%"
"Macy’s Inc","M","-0.82%","12.15%","35.55%","58.32%","75.68%","-42.12%"
"Marathon Oil","MRO","-0.52%","-2.46%","-0.71%","23.98%","67.38%","-22.43%"
"Marathon Petroleum","MPC","-0.20%","-3.58%","1.87%","19.72%","44.38%","55.19%"
"Marriott Int","MAR","-0.76%","0.03%","-0.14%","1.95%","35.11%","79.18%"
"Marsh McLennan","MMC","0.86%","3.07%","1.38%","1.86%","5.97%","40.82%"
"Martin Marietta Materials","MLM","0.00%","1.96%","8.94%","3.85%","-2.24%","51.36%"
"Masco","MAS","0.91%","3.27%","2.64%","-11.56%","4.41%","58.61%"
"Mastercard","MA","0.25%","2.39%","3.62%","32.16%","62.58%","112.42%"
"Mattel","MAT","3.46%","7.78%","17.37%","10.73%","-23.53%","-35.37%"
"McCormick&Co","MKC","2.40%","2.95%","-3.65%","1.54%","-0.88%","34.20%"
"McDonald’s","MCD","-0.34%","6.13%","2.33%","-1.86%","11.51%","77.24%"
"McKesson","MCK","-0.18%","2.20%","-1.28%","-6.78%","-11.03%","-38.39%"
"Medtronic","MDT","0.63%","-0.74%","1.75%","7.96%","0.77%","14.47%"
"Merck&Co","MRK","0.95%","3.34%","7.79%","11.21%","-2.81%","4.98%"
"MetLife","MET","0.68%","1.61%","1.11%","-6.23%","-10.28%","-15.69%"
"Mettler-Toledo","MTD","0.72%","4.54%","5.61%","-3.98%","0.15%","76.57%"
"MGM","MGM","-1.82%","-3.18%","-7.76%","-7.82%","-3.75%","57.60%"
"Michael Kors","KORS","1.92%","8.04%","2.78%","2.70%","81.09%","34.10%"
"Microchip","MCHP","-0.07%","1.09%","9.65%","16.24%","22.36%","115.01%"
"Micron","MU","2.95%","4.51%","16.58%","49.29%","100.62%","143.71%"
