"Name","Symbol","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"AMN Healthcare Services","AMN","-8.49%","-14.40%","-14.96%","6.19%","45.48%","53.06%"
"Amneal Pharma A","AMRX","0.89%","3.97%","14.62%","16.34%","21.82%","-59.55%"
"Amphastar P","AMPH","0.75%","1.22%","6.49%","-9.56%","8.89%","7.61%"
"AngioDynamics","ANGO","-0.60%","1.26%","-4.45%","30.43%","28.04%","37.19%"
"ANI Pharma","ANIP","-1.41%","-4.48%","-4.56%","0.90%","48.27%","9.72%"
"Anika","ANIK","1.95%","3.20%","24.30%","-23.34%","-20.52%","11.76%"
"Anixter","AXE","0.56%","2.43%","10.39%","-5.66%","-7.48%","12.74%"
"Apogee","APOG","-0.85%","-0.20%","0.27%","7.39%","-6.12%","-9.62%"
"Applied Industrial Technologies","AIT","-0.28%","-2.24%","0.35%","5.58%","28.39%","90.21%"
"ArcBest Corp","ARCB","-4.03%","4.50%","2.65%","29.79%","76.09%","37.08%"
"Archrock","AROC","-3.69%","-0.76%","2.76%","24.29%","26.70%","-13.69%"
"Asbury Automotive","ABG","2.17%","6.90%","3.48%","13.83%","34.29%","-15.09%"
"ASGN","ASGN","-2.02%","1.49%","15.08%","42.83%","88.66%","136.29%"
"Astec","ASTE","-0.78%","-5.22%","-24.90%","-21.79%","-5.57%","19.58%"
"Atlas Air","AAWW","-2.40%","-6.17%","-11.69%","7.59%","-3.96%","32.45%"
"ATN Int","ATNI","-0.66%","3.76%","16.81%","16.79%","4.47%","-10.75%"
"Avista","AVA","0.22%","0.82%","-4.24%","-1.69%","-3.42%","56.33%"
"Axon Enterprise","AAXN","-0.99%","0.48%","6.33%","160.72%","172.12%","172.87%"
"AZZ","AZZ","-0.83%","-0.19%","3.08%","4.89%","5.62%","3.42%"
"B&G Foods","BGS","0.65%","-0.16%","-5.46%","-11.38%","-2.96%","4.46%"
"Badger Meter","BMI","-1.25%","1.48%","10.86%","7.85%","15.71%","-10.13%"
"Balchem","BCPC","-3.44%","-1.33%","-3.61%","20.62%","24.64%","58.11%"
"Banc of California","BANC","-1.23%","0.00%","0.50%","-3.15%","-2.20%","67.79%"
"Banner","BANR","-1.36%","1.57%","4.33%","15.84%","11.31%","31.68%"
"Barnes","B","-0.45%","-3.65%","9.01%","4.01%","8.90%","68.18%"
"Barnes & Noble Education Inc","BNED","3.01%","8.58%","7.58%","-29.37%","-19.83%","-55.67%"
"Barnes&Noble","BKS","-2.48%","-0.84%","-0.00%","-11.94%","-24.84%","-66.55%"
"Bel Fuse B","BELFB","1.03%","10.84%","8.87%","-2.50%","-15.34%","7.91%"
"Belmond","BEL","-0.44%","1.82%","5.16%","-8.57%","-14.50%","-6.12%"
"Benchmark Electronics","BHE","0.81%","2.48%","-16.81%","-14.95%","-24.89%","12.86%"
"Big 5","BGFV","-4.20%","-10.24%","-22.45%","-25.00%","-39.04%","-48.04%"
"Biglari","BH","-1.00%","-3.13%","-7.09%","-55.68%","-51.28%","-58.65%"
"BioTelemetry","BEAT","-0.90%","4.55%","16.47%","84.45%","62.44%","364.62%"
"BJs Restaurants","BJRI","-1.29%","-4.61%","-0.73%","67.72%","83.06%","18.71%"
"Black Box","BBOX","3.50%","6.47%","55.79%","-58.31%","-81.27%","-91.19%"
"Blackbaud","BLKB","-1.44%","-14.72%","-9.02%","2.59%","10.59%","58.76%"
"Blucora","BCOR","-3.08%","-4.81%","-11.94%","56.79%","54.00%","147.32%"
"BofI Holding","BOFI","5.58%","7.78%","1.53%","39.97%","55.17%","25.45%"
"Boise Cascad Llc","BCC","1.27%","2.44%","-2.55%","10.28%","46.18%","36.94%"
"Boston Private","BPFH","-1.02%","0.00%","-9.94%","-6.15%","-5.84%","14.90%"
"Bottomline","EPAY","-0.36%","-0.75%","4.82%","59.75%","100.58%","104.35%"
"Boyd Gaming","BYD","1.71%","3.93%","2.91%","4.94%","41.35%","114.21%"
"Brady","BRC","-0.94%","-0.14%","-5.99%","-2.77%","10.99%","58.97%"
"Briggs&Stratton","BGG","0.62%","4.48%","-1.56%","-30.19%","-24.09%","-2.69%"
"Brinks","BCO","-0.25%","-0.06%","-5.47%","1.08%","5.78%","163.59%"
"Bristow","BRS","-8.52%","-11.79%","-11.28%","-8.31%","54.96%","-72.56%"
"Brookline Bancorp","BRKL","-1.63%","-2.16%","-3.98%","15.29%","23.13%","61.75%"
"Brooks Automation","BRKS","1.57%","2.32%","-5.67%","33.29%","40.66%","214.75%"
"Buckle","BKE","0.21%","4.97%","-6.00%","2.32%","46.83%","-44.43%"
"Cabot","CCMP","-0.11%","3.05%","10.76%","30.21%","71.30%","174.48%"
"CACI","CACI","-0.11%","0.51%","1.87%","33.77%","37.51%","115.00%"
"Cal-Maine","CALM","1.60%","-0.89%","-3.57%","0.34%","21.53%","-21.60%"
"CalAmp","CAMP","0.04%","2.20%","-5.37%","6.16%","19.93%","36.55%"
"Calavo Growers","CVGW","1.07%","2.71%","-3.17%","12.26%","28.30%","68.68%"
"Caleres","CAL","0.62%","2.43%","-2.43%","1.82%","29.67%","2.65%"
"California Water Service","CWT","-1.87%","-2.80%","-3.50%","-11.91%","2.83%","84.95%"
"Callaway Golf","ELY","10.70%","12.60%","13.42%","55.92%","60.89%","137.64%"
"Cambrex","CBM","-3.63%","4.00%","22.13%","32.81%","8.97%","18.45%"
"Cantel Medical","CMD","-1.01%","3.01%","-1.79%","-8.61%","22.47%","66.63%"
"Capstead Mortgage","CMO","-1.08%","-0.48%","-10.52%","-4.62%","-14.42%","-24.86%"
"Carbo Ceramics","CRR","-3.70%","-9.51%","-8.20%","-13.06%","17.84%","-71.19%"
"Cardtronics","CATM","26.04%","21.24%","18.85%","63.07%","12.43%","-16.92%"
"Career","CECO","-3.86%","-7.19%","2.67%","40.07%","103.86%","422.22%"
"Caretrust Inc","CTRE","3.46%","7.05%","1.91%","5.13%","-3.13%","41.53%"
"Carrizo Oil&Gas","CRZO","-2.01%","-1.70%","-2.05%","28.05%","84.25%","-25.22%"
"Cato","CATO","-0.16%","-0.52%","-0.95%","56.85%","51.43%","-35.46%"
"Cavco","CVCO","0.75%","2.30%","0.26%","39.97%","56.48%","198.07%"
"Cedar Realty","CDR","-0.43%","1.54%","-11.32%","-24.01%","-12.50%","-31.04%"
"Celadon","CGIP","1.31%","9.96%","-7.76%","-51.72%","-37.58%","-85.79%"
"Central Garden&Pet","CENT","0.60%","1.57%","-2.76%","11.15%","22.45%","349.22%"
"Central Garden&Pet A","CENTA","1.21%","1.69%","-3.17%","6.82%","17.50%","290.31%"
"Century Aluminum","CENX","-2.59%","-2.07%","-13.95%","-34.98%","-3.55%","53.67%"
"CEVA","CEVA","-0.16%","2.11%","1.78%","-31.74%","-26.57%","76.27%"
"Chart Industries","GTLS","-2.00%","2.54%","21.30%","63.10%","122.76%","201.26%"
"Chemed","CHE","-1.05%","-1.68%","-1.93%","30.05%","59.63%","109.01%"
"Chemours Co","CC","6.98%","2.89%","6.55%","-6.03%","-4.60%","396.73%"
"Chesapeake Lodging","CHSP","-1.87%","3.08%","-1.14%","18.42%","26.25%","3.12%"
"Chuy's Holdings","CHUY","-1.28%","-4.93%","-3.74%","9.98%","47.96%","-9.85%"
"Cincinnati Bell","CBB","-0.38%","0.77%","-23.10%","-36.93%","-39.12%","-32.04%"
"CIRCOR","CIR","0.46%","1.16%","13.38%","-10.37%","-14.53%","-6.73%"
"City Holding","CHCO","-1.67%","-2.05%","3.42%","18.72%","22.98%","66.32%"
"Clearwater Paper","CLW","3.56%","19.63%","6.94%","-42.29%","-43.90%","-54.28%"
"Cloud Peak Energy","CLD","-1.87%","-2.95%","-26.74%","-40.90%","-18.58%","3.95%"
"CMTSU Liquidation","CBRI","0.00%","-25.00%","50.00%","-80.00%","-93.02%","-99.91%"
"Cogent","CCOI","-1.22%","-3.30%","-8.88%","11.43%","15.12%","62.94%"
"Coherent","COHR","-0.81%","6.55%","16.69%","-35.48%","-13.69%","209.75%"
"Cohu","COHU","3.59%","2.94%","7.48%","19.77%","48.95%","173.85%"
"Columbia Banking","COLB","-1.67%","-0.05%","-0.89%","-4.95%","5.04%","26.50%"
"Comfort Systems","FIX","0.55%","1.66%","17.18%","26.58%","66.42%","87.61%"
"Community Bank System","CBU","-1.49%","-1.07%","4.25%","18.18%","14.24%","64.77%"
"Community Health Systems","CYH","3.54%","3.21%","1.90%","-24.41%","-50.61%","-94.33%"
"Computer Programs&Systems","CPSI","-14.01%","-22.01%","-22.12%","-12.15%","-17.11%","-42.50%"
"Comtech","CMTL","-1.63%","1.11%","4.74%","52.89%","87.99%","18.50%"
"CONMED","CNMD","-0.40%","9.04%","7.37%","57.11%","62.20%","40.05%"
"Consolidated Communications","CNSL","-7.82%","-13.06%","-17.43%","-10.99%","-44.73%","-45.94%"
"Contango Oil&Gas","MCF","-5.56%","-6.76%","-9.73%","8.28%","-14.14%","-40.35%"
"Cooper Stnd","CPS","-1.47%","6.44%","7.27%","16.49%","39.21%","123.14%"
"Core-Mark","CORE","0.70%","2.38%","4.92%","-22.39%","-31.48%","-62.33%"
"CoreSite","COR","1.17%","-0.64%","0.66%","0.35%","5.81%","132.41%"
"Corindus Vascular Robotics","CR3","0.68%","-0.45%","15.76%","8.28%","-35.95%","-71.96%"
"CorVel","CRVL","-1.39%","3.19%","-0.18%","6.90%","13.67%","71.62%"
"CPB","CPF","-1.00%","-1.14%","-5.12%","-6.91%","-9.95%","24.75%"
"Cray","CRAY","-5.15%","-5.93%","-10.85%","-4.96%","15.29%","-2.38%"
"Crocs","CROX","0.11%","-0.55%","4.41%","42.25%","126.45%","19.63%"
"Cross Country","CCRN","4.56%","-27.71%","-27.95%","-33.54%","-29.39%","-32.48%"
"CryoLife","CRY","-0.50%","0.67%","0.51%","55.87%","59.63%","172.11%"
"CSG Systems","CSGS","-2.30%","-8.20%","-10.10%","-13.65%","-3.49%","23.30%"
"CTS Corp","CTS","-0.42%","-0.57%","-4.09%","36.50%","57.62%","86.47%"
"Cubic","CUB","-2.84%","-1.55%","-1.55%","13.15%","56.39%","45.25%"
"Customers Bancorp","CUBI","-0.46%","-0.39%","-12.07%","-1.08%","-13.35%","1.94%"
"CVB Financial","CVBF","-1.78%","0.59%","4.25%","0.93%","10.30%","33.45%"
"Daktronics","DAKT","-0.47%","2.04%","-2.53%","-7.01%","-11.75%","-26.62%"
"Darling Ingredients","DAR","1.53%","2.55%","3.17%","13.13%","23.41%","63.43%"
"Dave & Buster’s Entertainment","PLAY","-0.08%","6.80%","3.62%","-10.33%","-17.33%","24.74%"
"Depomed","DEPO","0.23%","5.21%","23.12%","7.83%","-8.34%","-71.85%"
"DHI Group","DHX","-4.65%","0.00%","-14.58%","7.89%","-10.87%","-74.31%"
"Diamondrock Hospitality","DRH","-3.91%","0.51%","-4.99%","4.52%","1.55%","-4.07%"
"Digi","DGII","-3.72%","-4.43%","-6.50%","35.60%","35.60%","29.63%"
"Dime Community","DCOM","0.00%","-2.79%","-14.07%","-16.95%","-13.86%","0.93%"
"DineEquity","DIN","0.21%","4.12%","0.16%","47.39%","96.71%","-28.24%"
"Diodes","DIOD","-0.60%","-3.19%","2.48%","26.82%","38.88%","65.20%"
"Diplomat Pharmacy","DPLO","0.47%","-3.15%","-18.89%","5.68%","43.12%","-55.58%"
"Donnelley Financial Solutions","DFIN","-7.34%","-10.42%","4.50%","-4.77%","-11.95%","-"
"Dorman","DORM","-0.11%","1.57%","1.36%","19.89%","-2.63%","40.10%"
"DSP Group","DSPG","0.41%","-5.08%","-3.57%","-2.80%","2.53%","46.74%"
"DXP Enterprises","DXPE","-1.38%","2.32%","2.54%","40.48%","46.63%","15.71%"
"Eagle Pharm","EGRX","3.26%","-3.42%","1.53%","45.45%","62.55%","-22.73%"
"EastGroup Properties","EGP","1.19%","3.62%","-0.05%","10.39%","13.51%","65.89%"
"Ebix","EBIX","-0.49%","-0.86%","2.93%","1.96%","42.25%","143.15%"
"Echo Global","ECHO","-1.32%","3.55%","15.29%","19.82%","126.69%","2.16%"
"eHealth","EHTH","-0.73%","11.23%","9.29%","48.30%","45.29%","63.35%"
"El Paso Electric","EE","-0.32%","0.90%","2.75%","11.47%","15.65%","69.74%"
"El Pollo Loco Holdings Inc","LOCO","-0.44%","-4.60%","-1.72%","15.15%","-5.79%","-41.75%"
"Electro Scientific","ESIO","4.95%","27.57%","39.86%","4.95%","115.63%","370.50%"
"Electronics for Imaging","EFII","-1.19%","-3.75%","-2.35%","9.62%","24.26%","-29.06%"
"Emergent Biosolutions","EBS","3.25%","5.66%","6.65%","21.82%","60.92%","72.96%"
"Employers","EIG","-2.64%","-2.54%","8.87%","-0.45%","1.96%","71.58%"
"Enanta","ENTA","-1.33%","4.10%","-17.97%","70.31%","160.33%","98.49%"
"Encore Capital","ECPG","-1.80%","-2.34%","-4.95%","-15.56%","-16.65%","-18.35%"
"Encore Wire","WIRE","-0.77%","10.54%","4.26%","5.65%","25.98%","53.85%"
"Engility","EGL","-2.08%","-1.02%","7.74%","19.28%","7.09%","55.23%"
"Enova International Inc","ENVA","-0.63%","-0.32%","-15.93%","106.58%","138.78%","139.51%"
"Enpro Industries","NPO","2.85%","-2.29%","-0.28%","-22.86%","-2.96%","45.01%"
"ePlus","PLUS","1.10%","2.28%","3.37%","34.51%","17.55%","166.18%"
"Era Group Inc","ERA","-2.34%","-1.08%","4.25%","27.91%","48.81%","-21.88%"
"ESCO Technologies","ESE","-1.37%","-0.73%","2.43%","1.41%","-0.24%","63.33%"
"Essendant Inc","ESND","-2.03%","2.45%","14.38%","71.63%","29.88%","-56.28%"
"Ethan Allen Interiors","ETH","1.12%","0.67%","-9.82%","-20.47%","-29.80%","-25.86%"
"Evercore","EVR","-0.43%","1.51%","7.26%","27.17%","47.01%","96.18%"
"EW Scripps A","SSP","5.68%","9.21%","0.66%","-11.96%","-23.85%","-34.23%"
"ExlServices","EXLS","-1.36%","-3.34%","-1.49%","-3.60%","2.48%","51.39%"
"Exponent","EXPO","-1.89%","0.30%","-1.20%","38.96%","48.21%","11.51%"
"Express","EXPR","0.72%","2.73%","3.27%","-3.65%","56.98%","-49.14%"
"Exterran Corp","EXTN","-1.95%","-1.07%","3.17%","-15.04%","-1.69%","-"
"EZCORP","EZPW","0.91%","-4.33%","-6.36%","-9.43%","26.29%","71.85%"
"Fabrinet","FN","0.43%","2.80%","5.98%","38.22%","-6.13%","115.72%"
"FARO","FARO","-1.04%","-3.54%","19.21%","41.91%","95.89%","60.14%"
"Federal Signal","FSS","-0.55%","-0.71%","-0.00%","17.52%","27.35%","64.76%"
"Fidelity","LION","-1.69%","-1.24%","-8.77%","9.27%","8.82%","22.78%"
"Fiesta","FRGI","-0.85%","-1.02%","-1.36%","52.89%","71.89%","-50.18%"
"First Bancorp","FBP","-0.71%","0.24%","5.29%","63.92%","42.66%","98.10%"
"First Commonwealth Financial","FCF","-1.40%","-4.20%","6.71%","17.74%","30.29%","79.55%"
"First Financial Bancorp","FFBC","-1.45%","-0.49%","-2.55%","16.13%","18.83%","56.60%"
"First Financial Bankshares","FFIN","-1.37%","2.22%","10.24%","27.86%","33.64%","69.96%"
"First Midwest","FMBI","-1.03%","0.41%","3.59%","11.87%","20.88%","40.92%"
"First NBC Bank","FNBCQ","-5.86%","-0.00%","-0.00%","400.00%","400.00%","-99.87%"
"FirstCash","FCFS","-1.24%","-3.70%","-11.34%","17.64%","37.17%","99.57%"
"Five Below","FIVE","1.69%","4.09%","2.04%","50.97%","100.36%","161.27%"
"Flotek","FTK","2.33%","0.98%","0.33%","-33.91%","-51.50%","-82.10%"
"Forestar","FOR","0.44%","2.46%","3.62%","4.09%","33.92%","75.21%"
"Forrester","FORR","-2.27%","1.46%","3.31%","2.26%","11.88%","35.37%"
"Forward Air","FWRD","-0.85%","0.64%","5.76%","9.35%","21.75%","26.20%"
"Four Corners Property Trust Inc","FCPT","0.74%","4.85%","2.08%","1.01%","6.92%","-"
"Fox Factory","FOXF","-0.49%","25.03%","19.67%","58.17%","57.97%","288.43%"
"Francescass","FRAN","-1.77%","-0.51%","-4.66%","6.29%","-15.54%","-34.49%"
"Franklin Electric","FELE","-1.54%","0.42%","3.79%","4.36%","20.81%","64.77%"
"Franklin Street Properties","FSP","-0.23%","1.90%","-4.97%","-19.93%","-17.23%","-25.48%"
"Freds","FRED","-0.97%","-5.12%","-8.93%","-49.63%","-68.66%","-88.88%"
"FTD Companies Inc","FTD","-2.64%","-1.78%","-32.66%","-53.82%","-82.51%","-88.67%"
"FutureFuel","FF","0.72%","4.17%","-3.78%","-0.71%","-4.05%","29.06%"
"G-III Apparel","GIII","-0.37%","-2.92%","1.04%","18.16%","61.86%","-38.31%"
"Gannett","GCI","-0.20%","-1.46%","-6.37%","-12.42%","13.28%","-15.98%"
"Genesco","GCO","1.84%","3.63%","3.11%","27.54%","31.38%","-35.30%"
"Gentherm","THRM","0.33%","4.54%","13.70%","45.04%","46.19%","-7.49%"
"Geo","GEO","-0.08%","-1.99%","-5.38%","6.61%","-10.33%","8.12%"
"Geospace","GEOS","-2.94%","-6.95%","-4.92%","4.32%","-13.05%","-18.59%"
"Getty","GTY","0.66%","3.63%","0.94%","7.14%","10.69%","77.98%"
"Gibraltar Industries","ROCK","-0.12%","-1.15%","11.51%","30.61%","44.39%","129.99%"
"Glacier","GBCI","-1.29%","-0.21%","9.72%","10.64%","24.37%","54.43%"
"Glatfelter","GLT","-0.88%","-15.93%","-14.92%","-20.99%","-5.04%","-11.22%"
"Government Propertiesome","GOV","1.08%","7.96%","-2.58%","-14.40%","-13.51%","-3.82%"
"Great Western Bancorp Inc","GWB","-0.84%","0.61%","1.00%","6.93%","7.37%","58.10%"
"Green Dot","GDOT","-2.38%","-1.22%","5.20%","31.94%","100.43%","319.58%"
"Green Plains Energy","GPRE","-0.57%","6.13%","1.47%","2.67%","-9.42%","-15.24%"
"Greenbrier","GBX","-0.76%","4.33%","6.98%","10.69%","31.11%","34.92%"
"Greenhill&Co","GHL","0.15%","1.70%","14.81%","68.97%","88.83%","-16.14%"
"Griffon","GFF","-3.28%","1.43%","-1.94%","-13.02%","-8.05%","1.09%"
"Group 1 Automotive","GPI","1.09%","2.60%","1.39%","-0.31%","22.98%","-26.16%"
"Guess?","GES","-1.60%","0.96%","1.65%","31.34%","62.18%","2.21%"
"Gulf Island Fabrication","GIFI","-1.11%","-3.26%","-1.66%","-33.73%","-22.94%","-29.92%"
"H B Fuller","FUL","0.26%","0.71%","3.61%","5.46%","10.98%","41.46%"
"Haemonetics","HAE","-0.66%","-2.15%","5.49%","66.51%","134.79%","140.57%"
"Hanmi","HAFC","-0.78%","2.83%","-11.79%","-16.14%","-11.63%","-2.12%"
"Harmonic","HLIT","-1.90%","14.44%","22.62%","22.62%","28.75%","-12.41%"
"Harsco","HSC","0.80%","2.87%","11.80%","34.58%","49.85%","109.34%"
"Haverty Furniture","HVT","1.20%","6.03%","-1.86%","-6.84%","-11.53%","-6.31%"
"Hawaiian","HA","3.39%","4.71%","13.20%","3.26%","-2.60%","76.08%"
"Hawkins","HWKN","1.10%","10.11%","12.65%","17.61%","-4.61%","9.00%"
"Haynes","HAYN","-1.06%","-1.53%","7.87%","28.24%","27.76%","-2.26%"
"HCI Group Inc","HCI","-8.19%","-7.39%","-6.08%","31.20%","-10.88%","-1.58%"
"Healthcare Services","HCSG","-0.79%","0.00%","-8.37%","-23.99%","-22.06%","13.87%"
"Healthequity Inc","HQY","-0.45%","2.50%","0.66%","67.83%","67.44%","129.65%"
"HealthStream","HSTM","-0.34%","3.79%","3.53%","25.22%","25.05%","8.21%"
"Heartland Express","HTLD","-2.19%","0.47%","0.21%","-17.78%","-9.18%","-11.28%"
"Heidrick&Struggles","HSII","0.36%","21.24%","15.41%","70.88%","127.37%","109.85%"
"Helix","HLX","-2.11%","-6.54%","16.56%","23.21%","48.40%","17.00%"
"HFF","HF","0.93%","1.36%","28.57%","-8.31%","18.68%","12.31%"
"Hibbett Sports","HIBB","2.77%","4.09%","4.32%","18.38%","61.00%","-47.65%"
"HighPoint","HPR","-0.77%","-4.29%","6.94%","26.12%","84.86%","37.66%"
"Hillenbrand","HI","0.00%","5.88%","8.86%","16.78%","41.85%","84.78%"
"HMS Holdings","HMSY","16.25%","22.25%","26.15%","70.50%","52.43%","228.04%"
"Home BancShares","HOMB","-2.07%","-0.73%","1.23%","-0.52%","-7.26%","-43.31%"
"Hope Bancorp","HOPE","-0.70%","0.77%","-6.05%","-6.41%","-3.61%","8.65%"
"Horace Mann Educators","HMN","0.11%","1.03%","-4.46%","-0.34%","18.94%","25.50%"
"Hornbeck","HOS","-6.15%","-12.71%","-11.21%","32.48%","74.58%","-78.20%"
"Hub Group","HUBG","3.53%","15.02%","4.55%","10.33%","54.76%","25.71%"
"Iconix Brand","ICON","-3.46%","-3.77%","-22.73%","-60.47%","-91.76%","-97.48%"
"ICU Medical","ICUI","-0.83%","2.57%","1.43%","35.81%","70.40%","193.58%"
"II-VI","IIVI","-0.51%","-13.27%","-7.60%","-17.15%","10.04%","108.13%"
"ILG","ILG","-1.15%","0.35%","2.50%","20.72%","31.93%","59.83%"
"Independent Bank","INDB","-1.73%","-1.34%","11.03%","26.13%","23.74%","79.98%"
"Ingevity","NGVT","-0.24%","-0.74%","18.21%","39.53%","60.15%","-"
"Innophoss","IPHS","-0.05%","-7.78%","-8.63%","-5.07%","-6.37%","-14.49%"
"Innospec","IOSP","-1.01%","-1.58%","0.13%","10.62%","24.66%","78.15%"
"Inogen Inc","INGN","-0.28%","6.39%","9.23%","77.64%","132.25%","381.85%"
"Insight Enterprises","NSIT","7.77%","5.13%","5.93%","37.58%","18.94%","93.75%"
"Insperity","NSP","1.92%","3.34%","6.96%","80.91%","150.54%","114.71%"
"Installed Building","IBP","-3.52%","-4.43%","-8.49%","-33.31%","-13.71%","87.52%"
"Integer Hld","ITGR","-2.88%","-1.80%","6.87%","56.18%","53.14%","44.95%"
"Integra","IART","-0.39%","3.16%","0.32%","32.41%","29.12%","103.70%"
"Inter Parfums","IPAR","0.41%","2.93%","12.35%","41.31%","58.66%","97.94%"
"Interactive Brokers","IBKR","-0.28%","-2.05%","-1.12%","1.52%","48.27%","38.82%"
"Interface, Inc.","TILE","-0.23%","0.45%","-7.72%","-12.13%","16.93%","-16.45%"
"INTL FCStone","INTL","-1.97%","2.33%","6.61%","30.12%","42.52%","105.88%"
"Intrepid Potash","IPI","11.04%","-12.77%","-11.71%","-23.95%","-5.48%","-55.80%"
"Invacare","IVC","0.00%","2.27%","-3.23%","6.82%","18.03%","1.75%"
"Investment Tech","ITG","-1.95%","-3.57%","0.98%","12.36%","3.89%","26.12%"
"Iridium","IRDM","1.61%","5.57%","8.60%","60.59%","83.98%","182.84%"
"iRobot","IRBT","-0.34%","1.97%","0.50%","6.57%","-20.49%","168.62%"
"Itron","ITRI","-0.50%","0.42%","-3.63%","-12.54%","-17.21%","92.98%"
"J & J Snack Foods","JJSF","-0.29%","-7.81%","-9.24%","-6.86%","10.74%","20.20%"
"John Bean Tech","JBT","-0.51%","-6.49%","17.01%","-3.16%","17.98%","190.24%"
"Kaiser","KALU","-0.75%","-0.03%","5.76%","3.76%","14.57%","30.65%"
"Kaman","KAMN","-0.40%","-1.60%","-3.63%","11.05%","28.22%","66.43%"
"KapStone Paper&Packaging","KS","0.14%","0.09%","0.40%","53.46%","52.05%","50.02%"
"Kelly Services A","KELYA","-0.94%","0.79%","5.67%","-11.18%","8.42%","68.43%"
"Kirklands","KIRK","-0.27%","0.45%","-5.16%","-6.19%","18.11%","-59.89%"
"Kite","KRG","0.89%","5.13%","-0.70%","-13.21%","-18.26%","-34.35%"
"Knight Transportation","KNX","-2.55%","1.03%","-13.59%","-25.85%","-10.69%","17.25%"
"Kopin","KOPN","0.33%","0.00%","0.66%","-5.00%","-12.64%","4.83%"
"Koppers","KOP","-0.40%","2.31%","-4.57%","-26.13%","-4.93%","92.82%"
"Korn/Ferry","KFY","-0.80%","-0.72%","2.61%","59.50%","96.72%","93.89%"
"Kraton","KRA","-1.01%","0.67%","3.53%","-0.75%","30.20%","127.34%"
"Kulicke&Soffa","KLIC","-1.16%","-1.38%","9.54%","8.96%","36.63%","158.98%"
"La-Z-Boy","LZB","0.50%","-2.10%","-5.76%","-3.04%","-8.33%","21.05%"
"Lannett Com","LCI","3.89%","6.37%","-1.84%","-42.46%","-20.06%","-77.49%"
"LCI Industries","LCII","2.81%","15.05%","9.06%","-22.69%","-0.40%","76.22%"
"Legacy Texas Financial Grp","LTXB","-1.96%","-1.47%","10.03%","2.94%","10.90%","43.73%"
