"Name","Symbol","Hourly","Daily","Weekly","Monthly"
"DHI Group","DHX","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Diamondrock Hospitality","DRH","Strong Sell","Strong Sell","Buy","Strong Buy"
"Digi","DGII","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"Dime Community","DCOM","Neutral","Strong Sell","Strong Sell","Strong Sell"
"DineEquity","DIN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Diodes","DIOD","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Diplomat Pharmacy","DPLO","Buy","Strong Sell","Strong Sell","Sell"
"Donnelley Financial Solutions","DFIN","Strong Sell","Sell","Neutral","Sell"
"Dorman","DORM","Buy","Strong Buy","Strong Buy","Strong Buy"
"DSP Group","DSPG","Neutral","Strong Sell","Neutral","Neutral"
"DXP Enterprises","DXPE","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Eagle Pharm","EGRX","Buy","Sell","Strong Buy","Strong Buy"
"EastGroup Properties","EGP","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Ebix","EBIX","Strong Buy","Neutral","Strong Buy","Strong Buy"
"Echo Global","ECHO","Sell","Strong Buy","Strong Buy","Strong Buy"
"eHealth","EHTH","Buy","Strong Buy","Strong Buy","Strong Buy"
"El Paso Electric","EE","Neutral","Strong Buy","Strong Buy","Strong Buy"
"El Pollo Loco Holdings Inc","LOCO","Neutral","Sell","Buy","Neutral"
"Electro Scientific","ESIO","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Electronics for Imaging","EFII","Strong Sell","Strong Sell","Neutral","Sell"
"Emergent Biosolutions","EBS","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Employers","EIG","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Enanta","ENTA","Sell","Strong Sell","Neutral","Strong Buy"
"Encore Capital","ECPG","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Encore Wire","WIRE","Buy","Strong Buy","Strong Buy","Strong Buy"
"Engility","EGL","Strong Sell","Sell","Strong Buy","Strong Buy"
"Enova International Inc","ENVA","Sell","Strong Sell","Buy","Strong Buy"
"Enpro Industries","NPO","Neutral","Neutral","Strong Sell","Neutral"
"ePlus","PLUS","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Era Group Inc","ERA","Sell","Strong Buy","Strong Buy","Strong Buy"
"ESCO Technologies","ESE","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Essendant Inc","ESND","Sell","Strong Buy","Strong Buy","Neutral"
"Ethan Allen Interiors","ETH","Buy","Strong Sell","Strong Sell","Strong Sell"
"Evercore","EVR","Neutral","Strong Buy","Strong Buy","Strong Buy"
"EW Scripps A","SSP","Strong Buy","Strong Buy","Neutral","Strong Sell"
"ExlServices","EXLS","Strong Sell","Strong Sell","Neutral","Strong Buy"
"Exponent","EXPO","Strong Sell","Sell","Strong Buy","Strong Buy"
"Express","EXPR","Strong Buy","Buy","Strong Buy","Strong Buy"
"Exterran Corp","EXTN","Strong Sell","Strong Sell","Strong Sell","Neutral"
"EZCORP","EZPW","Strong Sell","Strong Sell","Strong Sell","Neutral"
"Fabrinet","FN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"FARO","FARO","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Federal Signal","FSS","Neutral","Strong Sell","Strong Buy","Strong Buy"
"Fidelity","LION","Strong Sell","Strong Sell","Sell","Strong Buy"
"Fiesta","FRGI","Sell","Sell","Strong Buy","Strong Buy"
"First Bancorp","FBP","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"First Commonwealth Financial","FCF","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"First Financial Bancorp","FFBC","Strong Sell","Strong Sell","Sell","Strong Buy"
"First Financial Bankshares","FFIN","Neutral","Strong Buy","Strong Buy","Strong Buy"
"First Midwest","FMBI","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"First NBC Bank","FNBCQ","Strong Buy","Buy","Neutral","Sell"
"FirstCash","FCFS","Strong Sell","Strong Sell","Neutral","Strong Buy"
"Five Below","FIVE","Strong Buy","Neutral","Strong Buy","Strong Buy"
"Flotek","FTK","Strong Buy","Neutral","Strong Sell","Strong Sell"
"Forestar","FOR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Forrester","FORR","Sell","Strong Buy","Strong Buy","Strong Buy"
"Forward Air","FWRD","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Four Corners Property Trust Inc","FCPT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Fox Factory","FOXF","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Francescass","FRAN","Sell","Buy","Strong Buy","Sell"
"Franklin Electric","FELE","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Franklin Street Properties","FSP","Neutral","Sell","Neutral","Strong Sell"
"Freds","FRED","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"FTD Companies Inc","FTD","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"FutureFuel","FF","Strong Buy","Strong Buy","Strong Buy","Neutral"
"G-III Apparel","GIII","Strong Sell","Strong Sell","Buy","Strong Buy"
"Gannett","GCI","Strong Sell","Strong Sell","Strong Sell","Sell"
"Genesco","GCO","Strong Buy","Strong Buy","Neutral","Neutral"
"Gentherm","THRM","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Geo","GEO","Strong Sell","Strong Sell","Strong Buy","Buy"
"Geospace","GEOS","Strong Sell","Sell","Neutral","Strong Sell"
"Getty","GTY","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Gibraltar Industries","ROCK","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Glacier","GBCI","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Glatfelter","GLT","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Government Propertiesome","GOV","Strong Buy","Strong Buy","Buy","Strong Sell"
"Great Western Bancorp Inc","GWB","Sell","Strong Buy","Neutral","Strong Buy"
"Green Dot","GDOT","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Green Plains Energy","GPRE","Buy","Buy","Strong Sell","Strong Sell"
"Greenbrier","GBX","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Greenhill&Co","GHL","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Griffon","GFF","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Group 1 Automotive","GPI","Strong Buy","Strong Buy","Buy","Strong Buy"
"Guess?","GES","Strong Sell","Sell","Neutral","Strong Buy"
"Gulf Island Fabrication","GIFI","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"H B Fuller","FUL","Buy","Strong Buy","Strong Buy","Strong Buy"
"Haemonetics","HAE","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Hanmi","HAFC","Sell","Strong Sell","Strong Sell","Strong Sell"
"Harmonic","HLIT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Harsco","HSC","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Haverty Furniture","HVT","Strong Buy","Buy","Neutral","Neutral"
"Hawaiian","HA","Strong Buy","Strong Buy","Strong Buy","Buy"
"Hawkins","HWKN","Strong Buy","Strong Buy","Strong Buy","Buy"
"Haynes","HAYN","Neutral","Strong Buy","Strong Buy","Strong Buy"
"HCI Group Inc","HCI","Strong Sell","Strong Sell","Sell","Buy"
"Healthcare Services","HCSG","Neutral","Sell","Sell","Neutral"
"Healthequity Inc","HQY","Strong Buy","Neutral","Strong Buy","Strong Buy"
"HealthStream","HSTM","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Heartland Express","HTLD","Strong Sell","Neutral","Neutral","Strong Sell"
"Heidrick&Struggles","HSII","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Helix","HLX","Strong Sell","Buy","Strong Buy","Buy"
"HFF","HF","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Hibbett Sports","HIBB","Strong Buy","Strong Buy","Neutral","Neutral"
"HighPoint","HPR","Strong Sell","Sell","Neutral","Neutral"
"Hillenbrand","HI","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"HMS Holdings","HMSY","Buy","Strong Buy","Strong Buy","Strong Buy"
"Home BancShares","HOMB","Strong Sell","Strong Sell","Sell","Strong Sell"
"Hope Bancorp","HOPE","Sell","Strong Sell","Strong Sell","Sell"
"Horace Mann Educators","HMN","Strong Buy","Strong Sell","Neutral","Strong Buy"
"Hornbeck","HOS","Strong Sell","Strong Sell","Buy","Neutral"
"Hub Group","HUBG","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Iconix Brand","ICON","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"ICU Medical","ICUI","Neutral","Neutral","Strong Buy","Strong Buy"
"II-VI","IIVI","Strong Sell","Strong Sell","Strong Sell","Buy"
"ILG","ILG","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Independent Bank","INDB","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Ingevity","NGVT","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Innophoss","IPHS","Strong Sell","Strong Sell","Strong Sell","Sell"
"Innospec","IOSP","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"Inogen Inc","INGN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Insight Enterprises","NSIT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Insperity","NSP","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Installed Building","IBP","Strong Sell","Strong Sell","Strong Sell","Sell"
"Integer Hld","ITGR","Strong Sell","Sell","Strong Buy","Strong Buy"
"Integra","IART","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Inter Parfums","IPAR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Interactive Brokers","IBKR","Sell","Strong Sell","Strong Sell","Strong Buy"
"Interface, Inc.","TILE","Neutral","Strong Sell","Strong Sell","Neutral"
"INTL FCStone","INTL","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Intrepid Potash","IPI","Sell","Strong Sell","Strong Sell","Strong Sell"
"Invacare","IVC","Strong Buy","Strong Buy","Neutral","Strong Buy"
"Investment Tech","ITG","Strong Sell","Strong Sell","Buy","Strong Buy"
"Iridium","IRDM","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"iRobot","IRBT","Strong Buy","Strong Buy","Strong Buy","Buy"
"Itron","ITRI","Neutral","Strong Sell","Strong Sell","Sell"
"J & J Snack Foods","JJSF","Strong Sell","Strong Sell","Sell","Buy"
"John Bean Tech","JBT","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Kaiser","KALU","Strong Sell","Buy","Strong Buy","Strong Buy"
"Kaman","KAMN","Strong Sell","Strong Sell","Sell","Strong Buy"
"KapStone Paper&Packaging","KS","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Kelly Services A","KELYA","Sell","Buy","Neutral","Neutral"
"Kirklands","KIRK","Strong Sell","Strong Sell","Strong Sell","Neutral"
"Kite","KRG","Strong Buy","Strong Buy","Buy","Strong Sell"
"Knight Transportation","KNX","Sell","Strong Sell","Strong Sell","Strong Sell"
"Kopin","KOPN","Neutral","Strong Sell","Strong Sell","Strong Sell"
"Koppers","KOP","Strong Sell","Sell","Strong Sell","Neutral"
"Korn/Ferry","KFY","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Kraton","KRA","Strong Sell","Buy","Neutral","Strong Buy"
"Kulicke&Soffa","KLIC","Buy","Neutral","Strong Buy","Strong Buy"
"La-Z-Boy","LZB","Buy","Strong Sell","Sell","Buy"
"Lannett Com","LCI","Strong Buy","Buy","Strong Sell","Strong Sell"
"LCI Industries","LCII","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Legacy Texas Financial Grp","LTXB","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Lendingtree","TREE","Neutral","Buy","Sell","Neutral"
"Lexington","LXP","Strong Buy","Strong Buy","Buy","Strong Sell"
"LGI Homes","LGIH","Strong Sell","Strong Sell","Strong Sell","Sell"
"LHC Group","LHCG","Buy","Strong Buy","Strong Buy","Strong Buy"
"Ligand","LGND","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Lindsay","LNN","Strong Sell","Strong Sell","Strong Sell","Buy"
"Liquidity Services","LQDT","Strong Sell","Neutral","Strong Buy","Buy"
"Lithia Motors","LAD","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Littelfuse","LFUS","Strong Buy","Sell","Buy","Strong Buy"
"LivePerson","LPSN","Neutral","Strong Buy","Strong Buy","Strong Buy"
"LogMeIn","LOGM","Buy","Strong Sell","Strong Sell","Strong Sell"
"Lsb Industries","LXU","Strong Buy","Neutral","Buy","Strong Sell"
"LSC Communications","LKSD","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"LTC Properties","LTC","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Lumber Liquidators","LL","Neutral","Strong Sell","Strong Sell","Strong Sell"
"Lumentum Holdings Inc","LITE","Strong Buy","Sell","Strong Sell","Neutral"
"Luminex","LMNX","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Lydall","LDL","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"M/I Homes","MHO","Neutral","Strong Sell","Strong Sell","Sell"
"Magellan Health","MGLN","Strong Sell","Strong Sell","Strong Sell","Neutral"
"Maiden Holdings","MHLD","Strong Sell","Strong Buy","Strong Buy","Sell"
"ManTech","MANT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Marcus","MCS","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"MarineMax","HZO","Buy","Strong Sell","Strong Sell","Sell"
"Marriot Vacations Worldwide","VAC","Buy","Strong Buy","Neutral","Neutral"
"Marten Transport","MRTN","Neutral","Neutral","Neutral","Strong Buy"
"Masimo","MASI","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Materion","MTRN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Matrix","MTRX","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Matson","MATX","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"Matthews","MATW","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"MDC","MDC","Buy","Sell","Strong Sell","Neutral"
"Medidata","MDSO","Strong Buy","Strong Sell","Neutral","Strong Buy"
"MEDIFAST","MED","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Mercury","MRCY","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Meridian","VIVO","Strong Sell","Strong Sell","Neutral","Neutral"
"Merit","MMSI","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Meritage","MTH","Neutral","Strong Sell","Strong Sell","Sell"
"Methode Electronics","MEI","Buy","Neutral","Strong Sell","Neutral"
"MicroStrategy","MSTR","Strong Buy","Strong Buy","Buy","Strong Sell"
"MiMedx","MDXG","Neutral","Neutral","Strong Sell","Strong Sell"
"MKS Instruments","MKSI","Buy","Strong Sell","Strong Sell","Neutral"
"Mobile Mini","MINI","Neutral","Strong Sell","Neutral","Strong Buy"
"Momenta","MNTA","Neutral","Neutral","Strong Buy","Strong Buy"
"Monarch","MCRI","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Monotype","TYPE","Strong Buy","Sell","Strong Sell","Strong Sell"
"Monro Muffler Brake","MNRO","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Moog","MOGa","Neutral","Strong Sell","Strong Sell","Neutral"
"Motorcar Parts","MPAA","Strong Buy","Strong Buy","Neutral","Sell"
"Movado","MOV","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"MTS Systems","MTSC","Sell","Sell","Buy","Strong Buy"
"Mueller Industries","MLI","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Multi-Color","LABL","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Myers Industries","MYE","Strong Buy","Strong Buy","Neutral","Strong Buy"
"MYR Group","MYRG","Strong Sell","Strong Sell","Neutral","Strong Buy"
"Nanometrics","NANO","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
